Cleaning#DISFLUENCIES	Cleaning#DUPLICATES	Cleaning#FILLERS	KEY	SESSION_ORDER	TokenFiltering	TokenType	Tokenization	UtteranceFiltering	TEST_ITER	Training#ALL_NEG	Training#ONE_NEG	Training#SENTIMENT	TESTED_UTT_COUNT#ALL_NEG	TOKEN_COUNT#ALL_NEG	TOTAL_UTT_COUNT#ALL_NEG	TESTED_UTT_COUNT#ONE_NEG	TOKEN_COUNT#ONE_NEG	TOTAL_UTT_COUNT#ONE_NEG	TESTED_UTT_COUNT#SENTIMENT	TOKEN_COUNT#SENTIMENT	TOTAL_UTT_COUNT#SENTIMENT
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1413-Andreas-misho/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	5.0	8.0	1.0	20	69	20	20	69	20	20	69	20
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170331-1116-kingen-Rambo/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	12.0	10.0	9.0	4	12	4	4	12	4	4	12	4
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170331-1116-kingen-Rambo/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	12.0	13.0	9.0	4	12	4	4	12	4	4	12	4
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170331-1116-kingen-Rambo/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	12.0	14.0	9.0	4	12	4	4	12	4	4	12	4
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170331-1116-kingen-Rambo/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	12.0	17.0	9.0	4	12	4	4	12	4	4	12	4
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170331-1116-kingen-Rambo/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	12.0	10.0	9.0	4	12	4	4	12	4	4	12	4
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170403-1010-annadenise-T/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	2.0	8.0	4.0	18	64	19	18	64	19	18	64	19
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170403-1010-annadenise-T/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	2.0	10.0	4.0	18	64	19	18	64	19	18	64	19
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170403-1010-annadenise-T/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	2.0	5.0	4.0	18	64	19	18	64	19	18	64	19
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170403-1010-annadenise-T/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	2.0	2.0	4.0	18	64	19	18	64	19	18	64	19
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170403-1010-annadenise-T/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	2.0	4.0	4.0	18	64	19	18	64	19	18	64	19
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170407-1246-11-maxime/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	2.0	8.0	2.0	6	20	6	6	20	6	6	20	6
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170407-1246-11-maxime/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	2.0	16.0	2.0	6	20	6	6	20	6	6	20	6
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170407-1246-11-maxime/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	2.0	5.0	2.0	6	20	6	6	20	6	6	20	6
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170407-1246-11-maxime/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	2.0	18.0	2.0	6	20	6	6	20	6	6	20	6
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170407-1246-11-maxime/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	2.0	6.0	2.0	6	20	6	6	20	6	6	20	6
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170407-1814-susanne-Chris/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	4.0	9.0	4.0	23	75	23	23	75	23	23	75	23
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170407-1814-susanne-Chris/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	4.0	8.0	4.0	23	75	23	23	75	23	23	75	23
